Expérimentateur;Bande de fréquences;Fréquences attribuées (limite basse);Fréquences attribuées (limite haute);Numéro de la décision d'autorisation de l'Arcep;Lien de la décision d'autorisation de l'Arcep;Latitude;Longitude;Code INSEE;Commune;Département;Région;Début;Fin;Description;Techno - Massive MIMO;Techno - Beamforming/beamtracking;Techno - Duplexage temporel (mode TDD);Techno - Mode de fonctionnement NSA (Non Stand Alone);Techno - Mode de fonctionnement SA (Stand Alone);Techno - Synchronisation de réseaux;Techno - Network slicing;Techno - Small cells;Techno - Accès dynamique au spectre;Techno - 5G, 6G…;Usage - Mobilité connectée;Usage - Internet des objets;Usage - Ville intelligente;Usage - Réalité virtuelle;Usage - Télémédecine;Usage - Industrie du futur;Usage - Technique ou R&D;Usage - Autre
ISIS Logiciels et Systèmes;2,6 GHz TDD;2575;2615;2022-2679;https://www.arcep.fr/uploads/tx_gsavis/22-2679.pdf;48,470902;2,0243;78423;Montigny-le-Bretonneux;Yvelines;Île-de-France;2023-01-01;2025-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Haventure;3,8 GHz;3900;4000;2022-2533;https://www.arcep.fr/uploads/tx_gsavis/22-2533.pdf;45,1858333;5,7783333;38421;Saint-Martin-d'Hères;Isère;Auvergne-Rhône-Alpes;2023-01-01;2025-06-30;Cette plateforme d’expérimentation est réalisée dans le cadre du projet Franco-Allemand 5G Forum visant à démontrer l’intérêt de la 5G privée au sein des blocs opératoires. Le projet travaillera sur l’interopérabilité des dispositifs médicaux afin de réduire les risques lors des opérations chirurgicales.;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0
Airbus Operations SAS;3,8 GHz;3900;4000;2023-0126;https://www.arcep.fr/uploads/tx_gsavis/23-0126.pdf;43,618619;1,362169;31149;Colomiers;Haute-Garonne;Occitanie;2023-03-02;2026-03-01;Expérimentation dans le cadre de la transformation digitale de la société Airbus afin d'offrir une connectivité sans fil dans le but d'assurer une continuité de service pour des moyens de production en milieu industriel.;1;0;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0
Nokia Networks France;3,8 GHz;3900;4000;2023-0721;https://www.arcep.fr/uploads/tx_gsavis/23-0721.pdf;48,78804416;2,0350656;78423;Montigny-le-Bretonneux;Yvelines;Île-de-France;2023-03-02;2025-03-01;Expérimentation 5G SA (Stand alone) pour fournir des flux vidéo et réalité augmentée.;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1
Acome;3,8 GHz;3900;4000;2022-2532;https://www.arcep.fr/uploads/tx_gsavis/22-2532.pdf;48,635018;-0,955043;50436;Romagny Fontenay;Manche;Normandie;2023-01-01;2025-12-31;Expérimentation qui s'inscrit dans le projet Lab PCN 5G pour mettre en œuvre un réseau mobile privé . Evolutif, robuste et sécurisé, ce réseau tend vers une souveraineté technologique française. Il sera innovant et vise à minimiser l’impact carbone. La plateforme se veut un laboratoire d’usages 5G pour l’industrie.;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
Acome;2,6 GHz TDD;2575;2615;2022-2680;https://www.arcep.fr/uploads/tx_gsavis/22-2680.pdf;48,381431;-0,572283;50436;Romagny Fontenay;Manche;Normandie;2023-01-01;2025-12-31;Expérimentation qui s'inscrit dans le projet Lab PCN 5G pour mettre en œuvre un réseau mobile privé. Evolutif, robuste et sécurisé, ce réseau tend vers une souveraineté technologique française. Il sera innovant et vise à minimiser l’impact carbone. La plateforme se veut un laboratoire d’usages 5G pour l’industrie.;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1
Hectar;3,8 GHz;3900;4000;2023-0740;https://www.arcep.fr/uploads/tx_gsavis/23-0740.pdf;48,7284974;1,9286383;78334;Lévis-Saint-Nom;Yvelines;Île-de-France;2023-02-01;2026-01-31;Expérimentation pour promouvoir une agriculture connectée dans le cadre de programmes d'éducation et d'entrepreneuriat. Le déploiement de ce réseau privé 5G vise à démontrer comment l'amélioration de la connectivité, de la bande passante, de la latence et le contrôle sur les informations du réseau sera bénéfique pour le développement d’une agriculture plus durable, résiliente et productive.;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1
Hectar;2,6 GHz TDD;2575;2615;2023-0716;https://www.arcep.fr/uploads/tx_gsavis/23-0716.pdf;48,7283333333333;1,92861111111111;78334;Lévis-Saint-Nom;Yvelines;Île-de-France;2023-05-01;2026-04-30;Expérimentation pour promouvoir une agriculture connectée dans le cadre de programmes d'éducation et d'entrepreneuriat. Le déploiement de ce réseau privé 5G vise à démontrer comment l'amélioration de la connectivité, de la bande passante, de la latence et le contrôle sur les informations du réseau sera bénéfique pour le développement d’une agriculture plus durable, résiliente et productive.;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
Orange;3,8 GHz;3800;3880;2023-0918;https://www.arcep.fr/uploads/tx_gsavis/23-0918.pdf;43,6236111111111;1,48777777777778;31044;Balma;Haute-Garonne;Occitanie;2023-05-24;2026-05-23;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0
Orange;3,8 GHz;3800;3900;2023-0919;https://www.arcep.fr/uploads/tx_gsavis/23-0919.pdf;45,7796714;4,75074;69044;Charbonnières-les-Bains;Rhône;Auvergne-Rhône-Alpes;2023-04-20;2026-04-19;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0
